SpillNumber,ProgramFacilityName,Street1,Street2,Locality,County,ZIPCode,SWISCode,DECRegion,SpillDate,SpillYear,ReceivedDate,ContributingFactor,Waterbody,Source,CloseDate,MaterialName,MaterialFamily,Quantity,Units,Recovered
8301875,STOP AND GO,"STOP AND GO SHOP, JCT. RT",,CORFU,Genesee,,1900,8,,1900,12/19/83,Unknown,,Unknown,6/1/86,gasoline,Petroleum,0,,0
8500159,STURMER RESIDENCE,BRADLEY G STURMER RESIDEN,,EAST BLOOMFIELD,Ontario,,3526,8,,1900,4/13/85,Unknown,TRIB OF HONEOYE CREE,Unknown,6/1/86,#2 fuel oil,Petroleum,150,Gallons,0
7901404,SUBWAY-NORTHERN BLVD.,SUBWAY-NORTHERN BLVD.,,QUEENS,Queens,,4101,2,,1900,4/1/79,Unknown,,Unknown,7/31/85,unknown material,Other,0,,0
8100041,SUBWAY-NYC,SUBWAY-NYC,,BROOKLYN,Kings,,2401,2,,1900,4/1/81,Unknown,,Unknown,7/31/85,unknown material,Other,0,,0
9507147,SULLIVAN DR. CANTON,SULLIVAN DRIVE,,CANTON,St Lawrence,,4522,6,,1900,9/12/95,Unknown,,Unknown,2/1/96,unknown material,Other,0,Pounds,0
8499993,SUNY COLLEGE AT BROCKPORT,"SUNY COLLEGE BROCKPORT,",,BROCKPORT V,Monroe,,2800,8,,1900,2/17/84,Unknown,GROUNDWATER,Unknown,6/1/86,gasoline,Petroleum,0,,0
2208599,UNKNOWN PETROLEUM ONTO MTA TRACKS,640 CONDUIT BLVD,,BROOKLYN,Kings,,2401,2,1/22/00,1900,1/22/23,Unknown,,Unknown,1/23/23,unknown petroleum,Petroleum,0,,0
7901505,VAN BRUNT STR.,BENSONHURST,,BROOKLYN,Kings,,2401,2,,1900,4/1/79,Unknown,,Unknown,7/31/85,unknown material,Other,0,,0
7880128,WADSWORTH GROCERY,ROUTE 36 AND OLD STATE RD,,YORK,Livingston,,2652,8,,1900,1/30/78,Tank Failure,,Gasoline Station or other PBS Facility,2/28/78,gasoline,Petroleum,0,,0
8202132,WEST END AVE,WEST END AVE.,,MANHATTAN,Kings,,2401,2,,1900,4/1/82,Unknown,,Unknown,10/10/86,unknown material,Other,0,,0
8499997,WEYERHAUSER,"WEYERHAUSER,",,PAINTED POST V,Steuben,,5100,8,,1900,2/26/84,Unknown,ROADSIDE DITCH,Unknown,6/1/86,waste oil/used oil,Petroleum,100,Gallons,0
8800079,WHITFORD FARM,SKANEATLAS TRNPK RT8&12,,BROOKFIELD,Madison,,2720,7,,1900,4/4/88,Unknown,,Unknown,5/2/88,unknown petroleum,Petroleum,0,,0
8499974,"WILDER RESIDENCE, ARTHUR","ARTHUR WILDER COTTAGE, 63",,PULTENEY,Steuben,,5100,8,,1900,1/10/84,Unknown,"GROUNDWATER, KEUKA L",Unknown,6/1/86,#2 fuel oil,Petroleum,0,,0
8421762,XEROX,"XEROX, BLDG 208, JOSEPH W",,WEBSTER,Monroe,,2854,8,,1900,10/2/84,Unknown,NONE,Unknown,6/1/86,hydrogen chloride,Hazardous Material,0,,0
909514,ROADSIDE DITCH,4510 EAST RAIL ROAD,,STOCKTON,Chautauqua,,768,9,11/12/09,1909,11/25/09,Human Error,BEAR CREEK,Passenger Vehicle,12/7/09,transmission fluid,Petroleum,2,Gallons,0
